number,person,word,label
1017, 0.375, be, 1
1018, 1.0, aquarius, 1
1019, 0.0, Wat, 1
1020, 0.375, be, 1
1021, 0.0, Haha, 1
1022, 0.375, be, 1
1023, 0.8333, water, 1
1024, 0.3529, go, 1
1025, 0.2, swimming, 1
1026, 0.0, yep, 1
1027, 0.0, haah, 1
1028, 0.375, be, 1
1029, 0.0, urs, 1
1030, 0.0, Kewl, 1
1031, 0.0, lol, 1
1032, 0.2353, Hang, 1
1033, 0.7143, mall, 1
1034, 0.2857, play, 1
1035, 0.0, xbox, 1
1036, 0.4, need, 1
1037, 1.0, game, 1
1038, 0.0, Spongebo, 1
1039, 0.0, lol, 1
1040, 0.375, come, 1
1041, 0.1739, get, 1
1042, 0.0, xma, 1
1043, 0.4, want, 1
1044, 0.0, sim, 1
1045, 0.2222, buy, 1
1046, 0.25, m, 1
